Device,Num neurons,Data type,Connenctivity,Total time,Presynaptic time
AMD MI300A,10000,float,dense,0.208725,0.184516
AMD MI300A,50000,float,dense,0.27132,0.247131
AMD MI300A,100000,float,dense,0.29109,0.266473
AMD MI300A,500000,float,dense,0.643723,0.619009
AMD MI300A,1000000,float,dense,0.719846,0.693111
AMD MI300A,2000000,float,dense,1.36558,1.33484
AMD MI300A,10000,half,dense,0.197062,0.1729
AMD MI300A,50000,half,dense,0.258114,0.233627
AMD MI300A,100000,half,dense,0.276445,0.251973
AMD MI300A,500000,half,dense,0.365146,0.329146
AMD MI300A,1000000,half,dense,0.655207,0.628612
AMD MI300A,2000000,half,dense,0.733562,0.70249
NVIDIA A5000,10000,float,dense,0.0572635,0.0429874
NVIDIA A5000,50000,float,dense,0.190238,0.175563
NVIDIA A5000,100000,float,dense,0.366333,0.351819
NVIDIA A5000,500000,float,dense,1.72583,1.71075
NVIDIA A5000,1000000,float,dense,3.42922,3.41249
NVIDIA A5000,10000,half,dense,0.0883443,0.0728928
NVIDIA A5000,50000,half,dense,0.115177,0.0998371
NVIDIA A5000,100000,half,dense,0.191589,0.177152
NVIDIA A5000,500000,half,dense,0.873114,0.858083
NVIDIA A5000,1000000,half,dense,1.75028,1.73354
