Device,Num neurons,Data type,Total time,Neuron time
AMD MI300A,10000,float,0.233258,0.106374
AMD MI300A,50000,float,0.251426,0.119005
AMD MI300A,100000,float,0.254602,0.135408
AMD MI300A,500000,float,0.425438,0.311555
AMD MI300A,1000000,float,0.628188,0.512071
AMD MI300A,10000,half,0.230066,0.103837
AMD MI300A,50000,half,0.23192,0.10541
AMD MI300A,100000,half,0.248333,0.119856
AMD MI300A,500000,half,0.347627,0.23029
AMD MI300A,1000000,half,0.438854,0.329374
NVIDIA A5000,10000,float,0.108849,0.0503821
NVIDIA A5000,50000,float,0.136591,0.0721652
NVIDIA A5000,100000,float,0.138478,0.0816687
NVIDIA A5000,500000,float,0.571136,0.51332
NVIDIA A5000,1000000,float,1.04077,0.983953
NVIDIA A5000,10000,half,0.107013,0.0489328
NVIDIA A5000,50000,half,0.129645,0.0654501
NVIDIA A5000,100000,half,0.121187,0.0640431
NVIDIA A5000,500000,half,0.332446,0.274472
NVIDIA A5000,1000000,half,0.575605,0.516374
